WatchedDate,Title,Directors,Year,FsmcRating,Rating,
1998-07-25, How it Feels to Be Run Over, Cecil M. Hepworth, 1900, 58
1998-07-25, The Explosion of a Motor Car, Cecil M. Hepworth, 1900, 57
1998-07-25, Rescued By Rover, Lewin Fitzhamon & Cecil M. Hepworth, 1905, 59
1998-07-25, The Other Side of the Hedge, Lewin Fitzhamon, 1905, 61
1998-07-25, That Fatal Sneeze, Lewin Fitzhamon, 1907, 51
1998-07-25, A Visit to Peek Fream & Co.'s Biscuit Works, Cricks & Martin Films, 1906, 54
1998-07-25, A Day in the Life of a Coal Miner, Kineto Films, 1910, 49
1998-07-25, What is Seen Through a Keyhole, Ferdinand Zecca, 1901, 51
1998-07-25, Story of a Crime, Ferdinand Zecca, 1901, 68
1998-07-25, Ali Baba, Ferdinand Zecca, 1902, 64
1998-07-25, Rêve et réalité, Ferdinand Zecca, 1901, 64
1998-07-25, Revolution in Russia, Lucien Nonguet, 1905, 50
1998-07-25, Aladdin and His Wonder Lamp, Albert Capellani, 1906, 64
1998-07-25, The Runaway Horse, Louis J. Gasnier, 1908, 54
1998-07-25, A Narrow Escape, Pathé Frères, 1908, 52
1998-07-25, Magic Bricks, Pathé Frères, 1908, 50
1998-07-25, Dewar's Scotch Whisky, International Film Mfg. Company, 1898, 49
1998-07-25, The Gay Shoe Clerk, William S. Porter, 1903, 62
1998-07-25, Dream of a Rarebit Fiend, William S. Porter, 1906, 65
1998-07-26, Small Soldiers, Joe Dante, 1998, 46
1998-07-26, Full Speed, Gaël Morel, 1996, 67
1998-07-26, Saving Private Ryan, Steven Spielberg, 1998, 65
1998-07-29, Henry Fool, Hal Hartley, 1997, 80
1998-08-01, The Untamable Whiskers, Georges Méliès, 1904, 62
1998-08-01, The Cook in Trouble, Georges Méliès, 1904, 61
1998-08-01, Tchin-Chao, the Chinese Conjuror, Georges Méliès, 1904, 60
1998-08-01, The Wonderful Living Fan, Georges Méliès, 1904, 64
1998-08-01, The Mermaid, Georges Méliès, 1904, 76
1998-08-01, The Living Playing Cards, Georges Méliès, 1905, 65
1998-08-01, The Black Imp, Georges Méliès, 1905, 65
1998-08-01, The Enchanted Sedan Chair, Georges Méliès, 1905, 67
1998-08-01, The Scheming Gambler's Paradise, Georges Méliès, 1905, 66-
1998-08-01, The Hilarious Posters, Georges Méliès, 1906, 67
1998-08-01, The Mysterious Retort, Georges Méliès, 1906, 67
1998-08-01, The Eclipse: Courtship of the Sun and Moon, Georges Méliès, 1907, 69
1998-08-01, Good Glue Sticks, Georges Méliès, 1907, 61
1998-08-01, Long Distance Wireless Photography, Georges Méliès, 1908, 66
1998-08-01, The Impossible Voyage, Georges Méliès, 1904, 69
1998-08-01, Gone With the Wind, Victor Fleming, 1939, 63
1998-08-02, Iola's Promise, D.W. Griffith, 1912, 65
1998-08-02, The Goddess of Sagebrush Gulch, D.W. Griffith, 1912, 57
1998-08-02, The Narrow Road, D.W. Griffith, 1912, 58
1998-08-08, Making a Living, Henry Lehrman, 1914, 47
1998-08-08, Kid Auto Races at Venice, Henry Lehrman, 1914, 66
1998-08-08, A Busy Day, Charles Chaplin, 1914, 60
1998-08-08, Mabel's Married Life, Charles Chaplin, 1914, 56
1998-08-08, Laughing Gas, Charles Chaplin, 1914, 50
1998-08-08, The New Janitor, Charles Chaplin, 1914, 44
